"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","3.3384","3.3452","3.4694","4.0983","4.3153","5.1729","5.5505","5.7769","6.1968","6.9084","7.7174","7.7965","8.4247","9.0615","8.7713","9.7956","10.7825","11.8891","12.7404","14.0782","14.7656","14.0678","15.7315","16.9513","17.9993","21.777","22.0842","23.9557","24.4779","26.1286","26.9738","32.6293","34.3402","35.9828","37.9027","40.3747","43.4822","46.207","51.3169","55.1151","60.7552","65.2915","69.8575","72.0629","76.6369","85.4306","93.9764","101.0249","105.485","108.0751","102.4575","116.6813","124.0779","124.7934",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","69.0629","69.0005","71.3123","72.2927","73.1604","78.267","79.1423","82.1489","88.2078","91.4849","94.606","90.7195","92.592","91.6514","90.1123","92.2785","93.3762","93.715","92.8576","91.7015","80.0522","64.9188","62.022","62.8343","60.0225","61.3665","61.6603","59.3284","56.8548","50.1186","48.1748","50.4222","47.5945","53.4602","51.4609","52.4881","54.0333","57.6369","54.5608","46.5342","49.5077","54.7826","49.9151","44.4509","47.3148","49.8542","47.1224","49.2795","46.2331","44.5731","39.4909","45.7855","50.0681","39.7926",
"Bahrain","BHR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","2.9781","2.9968","3.5852","4.5234","5.3311","5.5011","5.9686","6.5894","6.974","7.4412","7.543","8.0758","8.5082","8.8347","9.0448","9.6479","10.9692","10.7213","11.315","11.4205","11.9969","11.5692","13.6153","14.7277","14.9996","15.2432","15.7942","16.2596","17.2345","17.3259","17.7715","18.4025","19.2269","19.8961","19.9206","23.3702","25.449","25.8519","27.6689","27.6556","28.8353","29.0035","30.2163","32.1308","33.3022","33.4755","33.4618","33.7559","33.824","36.8473","36.8445","37.2756","36.2891","37.4256",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","1.4411","1.4637","1.7255","1.7179","1.5015","1.5368","1.3565","1.5063","1.5275","1.5738","1.5459","1.3597","1.1149","0.8214","0.8058","0.7141","0.7477","0.8834","0.9025","1.057","1.0862","0.9814","0.8464","0.87","0.9644","1.1152","1.2447","1.2551","1.4421","1.2959","0.9968","0.992","1.0863","0.8091","0.8736","0.8601","1.095","1.3133","1.3613","1.1323","1.2829","0.8541","1.0169","1.091","1.1362","1.1202","1.2453","1.3736","1.5426","1.7719","1.4374","1.5901","1.5968","1.6837",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","11.5364","11.5732","11.3696","12.3895","13.4187","13.6898","13.5473","14.2747","14.9598","15.4567","14.8941","16.4958","17.0804","18.0839","18.8433","19.8481","20.7833","19.2044","19.5458","19.8861","24.5731","21.9911","16.2277","13.6194","3.2992","3.5138","4.3985","8.7223","11.05","10.8913","14.2802","14.0958","14.8272","15.1877","16.0318","16.8439","18.6882","19.7228","21.6499","21.6577","22.2152","25.2656","23.3084","23.2108","20.792","20.8252","23.5017","23.9871","24.0596","22.5935","22.5309","22.9648","22.7127","21.9967",
"Belarus","BLR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","60.0888","60.1849","64.2946","70.2668","76.0691","81.7167","85.2787","88.1964","91.8294","95.0347","98.5668","100.4479","101.3849","101.9204","101.4506","101.4446","101.8944","102.491","100.9007","97.4222","105.5316","101.6405","91.8395","79.2904","67.5917","60.425","61.3563","61.8047","60.3055","58.1594","56.2579","54.9858","55.1888","55.8297","59.1858","60.0171","62.4603","61.0549","64.7612","61.6233","66.1177","62.9636","64.2663","64.4274","63.9688","59.1668","59.0618","60.221","63.5591","61.3745","58.1656","58.6377","56.8266","54.1757",
"Belize","BLZ","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.0593","0.0593","0.072","0.0727","0.0648","0.0783","0.0711","0.0784","0.0784","0.0776","0.0767","0.0707","0.0618","0.0606","0.072","0.0723","0.0935","0.0814","0.0639","0.0961","0.1256","0.144","0.1201","0.1171","0.1137","0.1285","0.1067","0.1844","0.1874","0.1958","0.1383","0.1406","0.1405","0.1482","0.136","0.1498","0.1736","0.1676","0.1618","0.1959","0.2325","0.1491","0.1622","0.2045","0.2035","0.246","0.2594","0.2834","0.2466","0.2685","0.219","0.2456","0.2617","0.2785",
"Bermuda","BMU","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.1388","0.1387","0.169","0.1705","0.1519","0.1839","0.1667","0.1841","0.1841","0.1821","0.18","0.1535","0.1521","0.1575","0.1705","0.1663","0.163","0.2482","0.2915","0.3625","0.2525","0.2279","0.1801","0.201","0.1991","0.2002","0.2041","0.2096","0.2146","0.2174","0.1503","0.1486","0.1655","0.171","0.1729","0.1859","0.2316","0.2771","0.2788","0.2446","0.3089","0.1533","0.1776","0.1978","0.2718","0.2305","0.3115","0.2852","0.312","0.3584","0.3155","0.3311","0.3324","0.3505",
"Bolivia","BOL","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","3.0225","3.7702","4.4954","4.1854","3.985","4.5329","5.1221","4.9204","5.6074","4.9895","4.9768","5.2964","5.5191","5.6834","5.1932","5.1147","4.7652","4.9487","5.359","6.1703","6.5816","6.8975","7.4295","8.8875","9.5922","8.6718","8.383","10.1647","10.1715","8.8735","8.2007","7.9317","8.463","9.0138","9.4451","9.9293","10.773","11.9867","12.8337","13.6481","14.7785","16.0796","17.0255","18.0829","19.4449","19.9348","21.3426","21.7595","21.9396","21.9785","18.5445","21.8107","22.7374","23.8069",
"Brazil","BRA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","106.9322","106.5753","116.2031","135.1541","145.9414","156.4252","171.8647","179.5368","194.2063","207.3871","207.1238","191.2793","189.3224","181.6293","184.7581","198.0525","216.9334","222.9327","227.771","230.9712","226.8945","235.2697","238.7015","249.3408","258.7584","279.9611","300.6037","319.2461","328.5461","335.897","349.3972","351.3128","351.41","346.4595","365.2382","369.183","373.6392","393.0476","412.7003","385.4613","439.7694","463.5013","497.7231","523.208","546.1498","517.5896","482.4293","494.4986","470.7686","468.1262","447.4235","505.9915","478.9143","479.5042",
